id,title,top_terms
91,REFUGE.,"mice:0.276, backs:0.276, safe:0.263, thunder:0.253, north:0.253, forests:0.253, push:0.253, like:0.248, laid:0.244, lightning:0.244, clouds:0.231, good:0.221, begun:0.221, fell:0.221, comes:0.217"
92,"I never saw a moor,","saw:0.484, chart:0.289, looks:0.289, wave:0.289, spoke:0.289, moor:0.265, visited:0.265, certain:0.265, spot:0.242, given:0.227, sea:0.175, god:0.171, heaven:0.166, know:0.148"
93,PLAYMATES.,"angels:0.362, god:0.301, playing:0.254, dreary:0.254, calls:0.254, afternoons:0.254, straightway:0.254, permits:0.254, industrious:0.242, missed:0.242, setting:0.225, crown:0.225, forgot:0.218, met:0.199, home:0.181"
94,To know just how he suffered would be dear;,"know:0.332, human:0.260, love:0.207, day:0.165, blest:0.163, grow:0.163, fluttered:0.163, ill:0.163, wishes:0.163, spoke:0.163, tranquil:0.155, settled:0.155, suffered:0.155, firm:0.155, consciousness:0.155"
95,"The last night that she lived,","things:0.288, night:0.190, exist:0.172, minds:0.172, placed:0.172, mentioned:0.172, bent:0.172, overlooked:0.172, leisure:0.164, quite:0.164, finish:0.164, smallest:0.164, erect:0.164, arose:0.164, length:0.164"
96,THE FIRST LESSON.,"suits:0.288, sweeter:0.274, wise:0.274, learned:0.263, rare:0.263, shelf:0.263, sounds:0.247, choose:0.247, book:0.235, leave:0.235, read:0.225, skies:0.211, world:0.205, place:0.199, said:0.199"
97,The bustle in a house,"enacted:0.348, putting:0.348, use:0.331, bustle:0.318, want:0.299, earth:0.259, eternity:0.248, house:0.244, heart:0.235, love:0.221, shall:0.221, morning:0.213, death:0.203, away:0.174"
98,"I reason, earth is short,","reason:0.714, absolute:0.250, vitality:0.250, decay:0.238, hurt:0.215, short:0.209, given:0.196, anguish:0.192, earth:0.186, best:0.183, die:0.169, new:0.160, heaven:0.143"
99,Afraid? Of whom am I afraid?,"afraid:0.629, decree:0.238, resurrection:0.238, deity:0.238, crown:0.222, trust:0.215, soon:0.210, odd:0.205, forehead:0.200, east:0.200, morn:0.196, father:0.183, fear:0.178, thing:0.174, death:0.146"
100,DYING.,"kept:0.510, setting:0.350, house:0.278, perceived:0.198, dusk:0.181, hue:0.181, awake:0.170, wandered:0.170, afraid:0.166, stopped:0.162, forehead:0.158, sound:0.158, dying:0.158, village:0.155, afternoon:0.150"
101,Two swimmers wrestled on the spar,"raised:0.260, waters:0.260, stray:0.260, swimmers:0.260, wrestled:0.260, ships:0.248, borne:0.248, spar:0.248, smiling:0.248, thrown:0.230, turned:0.223, spied:0.223, passing:0.218, hands:0.204, land:0.183"
102,THE CHARIOT.,"passed:0.380, scarcely:0.335, horses:0.183, paused:0.183, shorter:0.183, played:0.183, labor:0.183, drove:0.183, visible:0.183, haste:0.183, leisure:0.174, school:0.167, kindly:0.167, heads:0.167, setting:0.162"
103,She went as quiet as the dew,"dew:0.479, believe:0.329, accustomed:0.329, familiar:0.316, quiet:0.282, hour:0.266, star:0.261, softly:0.257, flower:0.242, went:0.219, summer:0.198, like:0.155"
104,RESURGAM.,"past:0.679, identified:0.277, lamps:0.277, midnight:0.245, ah:0.222, sunrise:0.222, thy:0.213, star:0.209, rest:0.197, feet:0.169, morning:0.169, life:0.146, day:0.141"
105,"Except to heaven, she is nought;","unnoticed:0.252, somebody:0.240, blown:0.240, lone:0.240, smallest:0.240, acre:0.231, existence:0.231, superfluous:0.223, nought:0.223, housewife:0.223, lawn:0.217, lies:0.202, butterflies:0.194, winds:0.191, single:0.191"
106,Death is a dialogue between,"spirit:0.518, death:0.399, '':0.260, dialogue:0.229, laying:0.229, says:0.229, dissolve:0.229, clay:0.218, turns:0.218, evidence:0.202, sir:0.196, trust:0.196, ground:0.187, dust:0.187, away:0.114"
107,"It was too late for man,","god:0.365, excellent:0.309, hospitable:0.309, remained:0.294, creation:0.282, help:0.265, neighbor:0.265, early:0.242, prayer:0.233, late:0.233, earth:0.229, man:0.209, old:0.206, face:0.181, heaven:0.177"
108,ALONG THE POTOMAC.,"boy:0.407, woman:0.368, bullets:0.230, conduct:0.230, seasons:0.210, proud:0.203, turned:0.198, slowly:0.198, forth:0.192, brain:0.188, victory:0.188, imperial:0.184, paradise:0.174, died:0.174, round:0.171"
109,"The daisy follows soft the sun,","thou:0.285, flower:0.277, '':0.225, sun:0.220, flight:0.198, decline:0.198, forgive:0.198, follows:0.198, sits:0.198, wherefore:0.198, waking:0.198, amethyst:0.188, steal:0.188, daisy:0.181, walk:0.181"
110,EMANCIPATION.,"liberty:0.418, thyself:0.236, flee:0.236, eagle:0.236, torture:0.236, bind:0.236, consciousness:0.225, rack:0.225, bolder:0.225, enemy:0.216, bone:0.203, nest:0.203, easier:0.198, saw:0.198, mortal:0.198"
111,LOST.,"rich:0.316, frugal:0.301, row:0.301, bound:0.301, sir:0.272, notice:0.265, anybody:0.265, forehead:0.253, stars:0.243, oh:0.228, world:0.225, eye:0.216, man:0.214, lost:0.209, know:0.161"
112,If I shouldn't be alive,"trying:0.357, memorial:0.357, asleep:0.340, crumb:0.316, lip:0.316, thank:0.316, alive:0.307, robins:0.299, red:0.262, come:0.211, know:0.182"
113,"Sleep is supposed to be,","supposed:0.435, sleep:0.343, day:0.241, station:0.226, gay:0.218, witness:0.218, grand:0.210, breaking:0.204, souls:0.204, degree:0.194, east:0.190, people:0.190, morn:0.186, break:0.183, red:0.174"
114,"I shall know why, when time is over,","anguish:0.400, wonder:0.400, shall:0.330, promised:0.260, christ:0.260, explain:0.260, separate:0.247, ceased:0.230, woe:0.230, forget:0.212, fair:0.190, drop:0.187, sky:0.166, tell:0.146, time:0.142"
115,"I never lost as much but twice,","poems:0.337, '':0.302, emily:0.295, dickinson:0.295, verses:0.221, friends:0.195, volume:0.133, form:0.126, twice:0.121, words:0.117, letter:0.114, thought:0.113, best:0.097, life:0.093, friend:0.091"
116,I'm nobody! Who are you?,"tell:0.436, public:0.388, dreary:0.388, somebody:0.370, bog:0.370, pair:0.355, know:0.198, day:0.197, like:0.175"
117,I bring an unaccustomed wine,"haply:0.311, lips:0.262, unto:0.212, '':0.186, unaccustomed:0.164, brimming:0.164, tardy:0.164, parching:0.164, summon:0.164, pilgrim:0.164, mould:0.164, slake:0.156, remained:0.156, attempt:0.156, warm:0.150"
